Tot això amanit enmig d'una bonança lisèrgica.,Marina començava a amanir el sopar; Marçal agafava el llibre i s'asseia a la vora del foc.
"Aquesta campanya s'ha vist amanida per al·legacions de corrupció i, particularment, per la difusió d'un vídeo d'un dels alcaldes més coneguts de Fidesz, Zolst Borkai, batlle de la ciutat de Gyor, en què se'l veia en una orgia en un iot.","Després del sopar —durant el qual les branques enceses dels ròssecs s'han tornat brases, i s'ha tornat cendra la fullaraca—, quan la foguera és una immensa brasilada que ningú encara no s'atreviria a botar en salt de gimnàstica, els homes tornen a agafar les cavalleries que han descansat una estona vora els pessebres, i, menjada una pallada, els amanixen aparellant-los amb albardó, mantes i pells de corder adobades, i es dirigixen al Pati de l'Església, on ja els esperen el senyor alcalde, el síndic i els altres prohoms o autoritats locals per tal de fer la processó de la coqueta."
"He llegit que ell nega la seva intenció d’amanir una paròdia i potser això explica que reti homenatge al seu mestre, el gran Pierre Michon, introduint-lo de biaix en el relat.","Descloscava i pelava l'all, la ceba i els ous; amania l'anxovada que es presentava en el seu bany com una estela carnosa de cent raigs."
Malgrat el seu estat de salut va saber sintetitzar tots els seus coneixements i amanir-los amb un sentit de l’humor envejable i una ironia ben esmolada.,"El lloc era tan solitari que hi volgué prendre un petit de repòs, i aviat va treure del sarró el que hi portava: algunes cebes dolces i un manat de ràvecs llargaruts a fi d'amanir un enciam dins l'escudella, perquè els sants, quan visiten la terra, esmorzen com tots nosaltres, si bé amb una frugalitat meravellosa."
"Per amanir l'estona, al costat tocaven Barón Rojo, un grup que en un altre segle va arribar a triomfar a la terra dels Maiden.","Així l'Aigua permet que l'empenyin enlaire, fins qui sap on, enginys diabòlics que roden i esbufeguen sense parar, amb tot de colzes i mànecs que van i tornen desaforadament, i un terratrèmol que faria venir pell de gallina a qualsevol cor no ben trempat com és el seu, i transita després per canonades llòbregues temps i més temps, fins que raja a l'aixeta de la cuina, on la minyona que amaneix el dinar, boteruda i vermella de mans i potser bigotuda, si és dona ja feta, canta que canta cançons que ignoren que al món hi hagi cels blaus brodats d'estrelles i vent terral i marinada i romanins i espígols."
"Un llenguatge senzill, acurat i directe, amb un deix d'ironia i humor, ben amanit amb tics sorprenents, arrodoneixen una història atractiva.","I endreça la casa i renta la roba i cou el menjar per a quan tornin els homes del camp o de la vinya, i amaneix un plat d'escudella al pobre desvalgut que truca a la porta."
"Mireu si és pràctic que inclou la joia perquè no hagis d’estar pensant amb quin braçalet, anells i etcètera combinaràs el vestit, i mireu si és sofisticat el resultat, tan polit amb la senzilla elegància del vellut negre, que cedeix protagonisme i fa ressaltar aquesta peça de joieria creativa única que ha fet el joier Isidoro Hernández per amanir el vestit.","Qui no pugui amanir amb oli que mengi pa sucat am vi, que escalfa el cap i també alimenta!—"
"En total, doncs, són 19 jornades seguides sense perdre i amb 51 punts sumats de 57 possibles, una espectacular dinàmica que explica per què el Barça té cada vegada la lliga més a prop i que està amanida amb el bagatge de l'equip en la resta de competicions, amb el mundial de clubs al sarró, la classificació per a la final de la copa del Rei i un peu i mig en els quarts de final de la lliga de campions.","És natural que qui diu pa, diu vianda, i qui diu vianda, diu tot el que pogués arreplegar, fred o calent, amanit o sense amanir."
La idea no deixa de ser pujar un altre esglaó més i amanir una mica més el que ja funciona.,"Pobre Jeroni! Li semblava que el vespre li feia l'ullet malignament, com dient-li: ""Eh, què tal? Com te va el nou estat? Serà divertit això de ballar amb la negra sota un pontarró i a panxa prima?"" I no podia menys de pensar amb recança en les comoditats, que solia gaudir a Mas Baltrons: en aquelles vetlles d'hivern, durant les quals, assegut a la vora del foc, llegia en veu alta a la seva família i criats alguna aventura del cavaller Curial o alguna història del /Flos Sanctorum\, tot esperant el sopar; i, després, en aquell sopar tan abundós i ben amanit i, finalment, en aquelles regalades i llargues dormides, blanament aplanat sobre els tres matalassos del seu llit monumental."
"I com que els muntadors de “tinglados” ja miren prou d’amanir així llurs iniciatives, el primari ho accepta tot a ulls clucs.","Sempre val més la vianda que li serveix el municipi que no pas la que li haurien donat a dispesa en una casa particular, on tot és cuit i amanit amb sal i altres ingredients."
"Es va centrar en l'aversió que produeixen les agulles, ho va amanir amb una història personal, la del seu tiet que va morir de càncer.","Només li calia amanir un covenell de fulles tendres i assentar el fillol al llindar de la porta, posant-li el covenell a tret de mà i ja podia anar-se'n sense temor."
"A la graderia, sempre enfervorida quan el Barça visita el Bernabéu, cada cop que Iniesta amania el partit amb un detall de qualitat es feia un silenci estrany, a mig camí entre el temor i el respecte.","També conegueren la delícia de les viandes crues, mal amanides, salades i agafades."
"Un recorregut que també ho era pel seu temps vital, i que va amanir amb freqüents comentaris sobre les cançons.","Mes, ai! que quan amaniu el pa, si tireu curt, vaja quina gràcia!; i si tireu llarg i feu bassal, com que no falta qui vigila, us tornaran a qualificar de marquès, i això és cosa que a un fill de pagès li cau a sobre."
"Activitats per a infants, ball de bot, bandes de música i les danses tradicionals dels gegants amaniren una jornada que es dedicà a Rosa Bueno, finada el desembre passat i que tant treballà en l'àmbit associatiu palmesà.","Un pa de tres lliures el feia allargar un parell de dies; quan duien a taula l'enciam amanit per ella, una lluna d'oli era més difícil de trobar que una unça de perruca; a les minyones les feia vestir i despullar a les fosques, i a mi, si em descuidava, em feia dur els mitjons amb una crosta de recosits."
"Va amanir el primer, el 2005, recordant que havia guanyat tantes Copes d'Europa com el Barça i que el palmarès de Rijkaard estava buit tot i que com a jugador en va guanyar tres.","Per més que En Fullaraca, home de bon regent, tan formal que de qui sap quan no se l'havia vist riure, fos el cap de colla indiscutible, que amb ell no escassejava el vi ni la minestra, ni mancaven les desfiles per si prenia mal algú, ni l'agulla ni el fil per als descosits, això sense comptar que no n'hi havia d'altre com ell per a fer l'arròs, amanir una ensiamada, lligar l'allioli i rostir el conill amb llampecs, encara el tren que els duia no havia passat de Sardanyola que ja En Tomàs de Bajalta comandava la colla amb un xàfec d'ordinacions, com si el plaer fugitiu de la diada fos un objectiu estratègic que calgués enrondar i assolir."
"En cas contrari la cosa queda en un pourparler, conegudíssim i ja sentit mil vegades sobre la seva volença africanista, amanit amb aquella successió de renecs per segon que tan bé coneixem.","Kat amaneix els porcells, les pastanagues, els pèsols, i la coliflor."
"I tot amanit amb una bona dosi d'humor, el segell personal d'aquest artista de la il·lusió.","Deus estar, com qui diu, dejú, et faré una truita, t'amaniré uns tomàquets."
[...] que pateix des de fa anys contínues convulsions accionarials amanides d'interferències polítiques del Govern.,Amb aquesta substància amaneixen gairebé tot el que mengen —com si fos mostassa o salsa a la maionesa.
"Però també el tradicional cercacarrers, amanit amb cultura popular, va tenir molt bona acollida.",La mare i la germana eren a la cuina amanint el dinar: avui tenien el padrí convidat i calia escarrassar-s'hi.
Xavier Bru de Sala comenta la recent publicació del volum d'estudis literaris titulat Carneriana i ho amaneix amb un seguit d'opinions personals sobre Josep Carner.,"Es diu pollada, però no ens atrevíem a dir-ne el nom per si us feia por venir, comenten els Quiroz-Ching. Qui vulgui pot amanir el seu plat amb una mica de salsa de huacatay, una herba aromàtica semblant al julivert. Les postres arriben quan la"
D'aquesta manera amaneixen un programa amb un seguit d'obres molt conegudes.,"d'altres greixos en la dieta per aconseguir els seus beneficis cardiosaludables. A més de per a saltejar les verdures i amanir amanides també es pot prendre com a substitut de la mantega en el pa. L'oli d'oliva és alt en calories, així que no en"
